id,title,authors,journal,year,source
1215,spectral entropy indicates electrophysiological and hemodynamic changes in drug-resistant epilepsy – a multimodal mreg study,"helakari h., kananen j., huotari n., raitamaa l., tuovinen t., borchardt v., rasila a., raatikainen v., starck t., hautaniemi t., myllylä t., tervonen o., rytky s., keinänen t., korhonen v., kiviniemi v., ansakorpi h.",neuroimage: clinical,2019,scopus
1216,opportunities and challenges of deep learning methods for electrocardiogram data: a systematic review,"hong s., zhou y., shang j., xiao c., sun j.",computers in biology and medicine,2020,scopus
1217,automated accurate schizophrenia detection system using collatz pattern technique with eeg signals,"baygin m., yaman o., tuncer t., dogan s., barua p.d., acharya u.r.",biomedical signal processing and control,2021,scopus
1218,automated heartbeat classification and detection of arrhythmia using optimal orthogonal wavelet filters,"sharma m., tan r.-s., acharya u.r.",informatics in medicine unlocked,2019,scopus
1219,a white paper on a neurodevelopmental framework for drug discovery in autism and other neurodevelopmental disorders,"díaz-caneja c.m., state m.w., hagerman r.j., jacquemont s., marín o., bagni c., umbricht d., simonoff e., de andrés-trelles f., kaale a., pandina g., gómez-mancilla b., wang p.p., cusak j., siafis s., leucht s., parellada m., loth e., charman t., buitelaar j.k., murphy d., arango c.",european neuropsychopharmacology,2021,scopus
1220,deep learning: current and emerging applications in medicine and technology,"akay a., hess h.",ieee journal of biomedical and health informatics,2019,scopus
1221,a calibrated multiexit neural network for detecting urothelial cancer cells,"lilli l., giarnieri e., scardapane s.",computational and mathematical methods in medicine,2021,scopus
1222,classification of sleep apnea using emd-based features and pso-trained neural networks,"afrakhteh s., ayatollahi a., soltani f.",biomedizinische technik,2021,scopus
1223,automatic stress detection using wearable sensors and machine learning: a review,"gedam s., paul s.","2020 11th international conference on computing, communication and networking technologies, icccnt 2020",2020,scopus
1224,systemic lps-induced microglial activation results in increased gabaergic tone: a mechanism of protection against neuroinflammation in the medial prefrontal cortex in mice,"jiang j., tang b., wang l., huo q., tan s., misrani a., han y., li h., hu h., wang j., cheng t., tabassum s., chen m., xie w., long c., yang l.","brain, behavior, and immunity",2022,scopus
1225,brain-computer interface of motor imagery and emotion using multiple recurrent neural networks,"sury d.a., djamal e.c.","proceedings - 2021 4th international conference on computer and informatics engineering: it-based digital industrial innovation for the welfare of society, ic2ie 2021",2021,scopus
1226,robust learning from corrupted eeg with dynamic spatial filtering,"banville h., wood s.u.n., aimone c., engemann d.-a., gramfort a.",neuroimage,2022,scopus
1227,insight into the effects of clinical repetitive transcranial magnetic stimulation on the brain from positron emission tomography and magnetic resonance imaging studies: a narrative review,"aceves-serrano l., neva j.l., doudet d.j.",frontiers in neuroscience,2022,scopus
1228,artifact cleaning of motor imagery eeg by statistical features extraction using wavelet families,"nagabushanam p., george s.t., dolly d.r.j., radha s.",international journal of circuit theory and applications,2020,scopus
1229,improving mental health services: a 50-year journey from randomized experiments to artificial intelligence and precision mental health,bickman l.,administration and policy in mental health and mental health services research,2020,scopus
1230,benchmarking of fully connected and convolutional neural networks on face recognition: case of makeup and occlusions,"selitskiy s., christou n., selitskaya n.",lecture notes in networks and systems,2021,scopus
1231,neuromodulation of hippocampal-prefrontal cortical synaptic plasticity and functional connectivity: implications for neuropsychiatric disorders,"ruggiero r.n., rossignoli m.t., marques d.b., de sousa b.m., romcy-pereira r.n., lopes-aguiar c., leite j.p.",frontiers in cellular neuroscience,2021,scopus
1232,past and future explanations for depersonalization and derealization disorder: a role for predictive coding,"gatus a., jamieson g., stevenson b.",frontiers in human neuroscience,2022,scopus
1233,classification of arrhythmia in heartbeat detection using deep learning,"ullah w., siddique i., zulqarnain r.m., alam m.m., ahmad i., raza u.a.",computational intelligence and neuroscience,2021,scopus
1234,a new sensor fault diagnosis method for gas leakage monitoring based on the naive bayes and probabilistic neural network classifier,"tan q., mu x., fu m., yuan h., sun j., liang g., sun l.",measurement: journal of the international measurement confederation,2022,scopus
1235,convolutional neural network for seizure detection using scalp electroencephalogram (eeg),"kumar s., janghel r.r., sahu s.p.",lecture notes in networks and systems,2021,scopus
1236,"nonlinear analysis of eegs of patients with major depression during different emotional states,","saime akdemir akar, sadık kara, sümeyra agambayev, vedat bilgiç,","computers in biology and medicine,",2015,sciencedirect
1237,computer aided diagnosis: approaches to automate hematological tests: approaches to automate hematological tests,"ghosh a., parui s., samanta d., mukhopadhyay j., chakravorty n.","studies in systems, decision and control",2021,scopus
1238,local field potentials in parkinson's disease: a frequency-based review,"yin z., zhu g., zhao b., bai y., jiang y., neumann w.-j., kühn a.a., zhang j.",neurobiology of disease,2021,scopus
1239,"a koopman-operator-theoretical approach for anomaly recognition and detection of multi-variate eeg system,","shaodi qian, chun-an chou,","biomedical signal processing and control,",2021,sciencedirect
1240,significant low-dimensional spectral-temporal features for seizure detection,"yan x., yang d., lin z., vucetic b.",ieee transactions on neural systems and rehabilitation engineering,2022,scopus
1241,end-to-end sleep apnea detection using single-lead ecg signal and 1-d residual neural networks,"sharan r.v., berkovsky s., xiong h., coiera e.",journal of medical and biological engineering,2021,scopus
1242,neurophysiological aspects of rem sleep behavior disorder (rbd): a narrative review,"figorilli m., lanza g., congiu p., lecca r., casaglia e., mogavero m.p., puligheddu m., ferri r.",brain sciences,2021,scopus
1243,"accurate classification of depression through optimized machine learning models on high-dimensional noisy data,","xingang fang, julia klawohn, alexander de sabatino, harsh kundnani, jonathan ryan, weikuan yu, greg hajcak,","biomedical signal processing and control,",2022,sciencedirect
1244,cefes: a cnn explainable framework for ecg signals,"maweu b.m., dakshit s., shamsuddin r., prabhakaran b.",artificial intelligence in medicine,2021,scopus
1245,classification of severity of trachea stenosis from eeg signals using ordinal decision-tree based algorithms and ensemble-based ordinal and non-ordinal algorithms,"singer g., ratnovsky a., naftali s.",expert systems with applications,2021,scopus
1246,atrial fibrillation detection using heart rate variability and atrial activity: a hybrid approach,"hirsch g., jensen s.h., poulsen e.s., puthusserypady s.",expert systems with applications,2021,scopus
1247,characterizing hippocampal oscillatory signatures underlying seizures in temporal lobe epilepsy,"mokhothu t.m., tanaka k.z.",frontiers in behavioral neuroscience,2021,scopus
1248,from genetics to systems biology of stress-related mental disorders,"dalvie s., chatzinakos c., al zoubi o., georgiadis f., lancashire l., daskalakis n.p., pgc-ptsd systems biology workgroup",neurobiology of stress,2021,scopus
1249,regularization of deep neural networks for eeg seizure detection to mitigate overfitting,"saqib m., zhu y., wang m., beaulieu-jones b.","proceedings - 2020 ieee 44th annual computers, software, and applications conference, compsac 2020",2020,scopus
1250,greater decision uncertainty characterizes a transdiagnostic patient sample during approach-avoidance conflict: a computational modelling approach,"smith r., kirlic n., stewart j.l., touthang j., kuplicki r., khalsa s.s., feinstein j., paulus m.p., aupperle r.l.",journal of psychiatry and neuroscience,2021,scopus
1251,cingulate role in tourette syndrome,"o'neill j., piacentini j.c., peterson b.s.",handbook of clinical neurology,2019,scopus
1252,evaluating deep learning eeg-based mental stress classification in adolescents with autism for breathing entrainment bci,"sundaresan a., penchina b., cheong s., grace v., valero-cabré a., martel a.",brain informatics,2021,scopus
1253,contextual anomaly detection in time series using dynamic bayesian network,"tripathi a.m., baruah r.d.",lecture notes in computer science (including subseries lecture notes in artificial intelligence and lecture notes in bioinformatics),2020,scopus
1254,epileptic seizure prediction using exponential squirrel atom search optimization-based deep recurrent neural network,"pune borhade r.r., nagmode m.s.",international journal of ambient computing and intelligence,2021,scopus
1255,eeg-based experiment design for major depressive disorder: machine learning and psychiatric diagnosis,"malik a.s., mumtaz w.",eeg-based experiment design for major depressive disorder: machine learning and psychiatric diagnosis,2019,scopus
1256,"heart rate variability for medical decision support systems: a review,","oliver faust, wanrong hong, hui wen loh, shuting xu, ru-san tan, subrata chakraborty, prabal datta barua, filippo molinari, u. rajendra acharya,","computers in biology and medicine,",2022,sciencedirect
1257,"landslide detection mapping employing cnn, resnet, and densenet in the three gorges reservoir, china","liu t., chen t., niu r., plaza a.",ieee journal of selected topics in applied earth observations and remote sensing,2021,scopus
1258,alterations in cyclic nucleotide signaling are implicated in healthy aging and age-related pathologies of the brain,"gorny n., kelly m.p.",vitamins and hormones,2021,scopus
1259,deep learning algorithm performance compared to experts in visual evaluation of interior vena cava collapse on ultrasound to determine intravenous fluid need in dehydration management,"blaivas m., blaivas l.n., tsung j.w.",signa vitae,2021,scopus
1260,brain gray matter alterations in hepatic encephalopathy: a voxel-based meta-analysis of whole-brain studies,"zhu l., zhang w., chen l., ren y., cao y., sun t., sun b., liu j., wang j., zheng c.",frontiers in human neuroscience,2022,scopus
1261,"methods for cleaning the bold fmri signal,","césar caballero-gaudes, richard c. reynolds,","neuroimage,",2017,sciencedirect
1262,"integrating sleep, neuroimaging, and computational approaches for precision psychiatry","goldstein-piekarski a.n., holt-gosselin b., o’hora k., williams l.m.",neuropsychopharmacology,2020,scopus
1263,machine learning approach to diagnose schizophrenia based on effective connectivity of resting eeg data,"masychev k., ciprian c., ravan m.","2020 ieee signal processing in medicine and biology symposium, spmb 2020 - proceedings",2020,scopus
1264,analysis of vertical eye movements in parkinson’s disease and its potential for diagnosis,farashi s.,applied intelligence,2021,scopus
1265,"exploiting multi-scale signal information in joint compressed sensing recovery of multi-channel ecg signals,","anurag singh, samarendra dandapat,","biomedical signal processing and control,",2016,sciencedirect
1266,multi-frequency fused graph kernel of brain network for alzheimer's disease [面向阿尔茨海默病的脑网络多频融合图核],"wang x.-l., wang z.-q., wang z.-y., xin j.-c., gu y.",jisuanji xuebao/chinese journal of computers,2020,scopus
1267,diagnosis of ball-bearing faults using support vector machine based on the artificial fish-swarm algorithm,"lin c.-j., chu w.-l., wang c.-c., chen c.-k., chen i.-t.",journal of low frequency noise vibration and active control,2020,scopus
1268,attention-based event characterization for scarce vehicular sensing data,"taherifard n., simsek m., lascelles c., kantarci b.",ieee open journal of vehicular technology,2020,scopus
1269,phonocardiography-based mitral valve prolapse detection with using fractional fourier transform,"mehrabbeik m., rashidi s., fallah a., rafiei khoshnood e.",biomedical physics and engineering express,2020,scopus
1270,a deep learning-based algorithm for detection of cortical arousal during sleep,"li a., chen s., quan s.f., powers l.s., roveda j.m.",sleep,2020,scopus
1271,study protocol: retrospectively mining multisite clinical data to presymptomatically predict seizure onset for individual patients with sturge-weber,"vedmurthy p., pinto a.l.r., lin d.d.m., comi a.m., ou y.",bmj open,2022,scopus
1272,temporally resolved neural dynamics underlying handwriting,"pei l., longcamp m., leung f.k.-s., ouyang g.",neuroimage,2021,scopus
1273,óimpact of infertility factors on ivf success rate using fuzzy inference system,"mansour a.m., obeidat m.a.","2021 international conference on information technology, icit 2021 - proceedings",2021,scopus
1274,real-time detection of compensatory patterns in patients with stroke to reduce compensation during robotic rehabilitation therapy,"cai s., li g., su e., wei x., huang s., ma k., zheng h., xie l.",ieee journal of biomedical and health informatics,2020,scopus
1275,a prior-mask-guided few-shot learning for skin lesion segmentation,"xiao j., xu h., zhao w., cheng c., gao h.h.",computing,2021,scopus
1276,"hvd-lstm based recognition of epileptic seizures and normal human activity,","pritam khan, yasin khan, sudhir kumar, mohammad s. khan, amir h. gandomi,","computers in biology and medicine,",2021,sciencedirect
1277,psychological health assessment model of enterprise employees based on dnn technology,li x.,wireless communications and mobile computing,2022,scopus
1278,behavioral activity recognition based on gaze ethograms,"de lope j., graña m.",international journal of neural systems,2020,scopus
1279,"an overview of artificial intelligence techniques for diagnosis of schizophrenia based on magnetic resonance imaging modalities: methods, challenges, and future works","sadeghi d., shoeibi a., ghassemi n., moridian p., khadem a., alizadehsani r., teshnehlab m., gorriz j.m., khozeimeh f., zhang y.-d., nahavandi s., acharya u.r.",computers in biology and medicine,2022,scopus
1280,"automated inter-patient seizure detection using multichannel convolutional and recurrent neural networks,","jeff craley, emily johnson, christophe jouny, archana venkataraman,","biomedical signal processing and control,",2021,sciencedirect
1281,"theory-driven classification of reading difficulties from fmri data using bayesian latent-mixture models,","noam siegelman, mark r. van den bunt, jason chor ming lo, jay g. rueckl, kenneth r. pugh,","neuroimage,",2021,sciencedirect
1282,hybrid multivariate pattern analysis combined with extreme learning machine for alzheimer’s dementia diagnosis using multi-measure rs-fmri spatial patterns,"nguyen d.t., ryu s., qureshi m.n.i., choi m., lee k.h., lee b.",plos one,2019,scopus
1283,consumer wearables and affective computing for wellbeing support,"saganowski s., kazienko p., dziezyc m., jakimow p., komoszynska j., michalska w., dutkowiak a., polak a., dziadek a., ujma m.",acm international conference proceeding series,2020,scopus
1284,characterization of fibromyalgia using sleep eeg signals with nonlinear dynamical features,"paul jk, iype t, r d, hagiwara y, koh jw, acharya ur.",comput biol med,2019,pubmed
1285,abnormal core functional connectivity on the pathology of mdd and antidepressant treatment: a systematic review,"li j., chen j., kong w., li x., hu b.",journal of affective disorders,2022,scopus
1286,an integrated entropy-spatial framework for automatic gender recognition enhancement of emotion-based eegs,"al-qazzaz n.k., sabir m.k., al-timemy a.h., grammer k.",medical and biological engineering and computing,2022,scopus
1287,"covid-19 pathways for brain and heart injury in comorbidity patients: a role of medical imaging and artificial intelligence-based covid severity classification: a review,","jasjit s. suri, anudeep puvvula, mainak biswas, misha majhail, luca saba, gavino faa, inder m. singh, ronald oberleitner, monika turk, paramjit s. chadha, amer m. johri, j. miguel sanches, narendra n. khanna, klaudija viskovic, sophie mavrogeni, john r. laird, gyan pareek, martin miner, david w. sobel, antonella balestrieri, petros p. sfikakis, george tsoulfas, athanasios protogerou, durga prasanna misra, vikas agarwal, george d. kitas, puneet ahluwalia, raghu kolluri, jagjit teji, mustafa al maini, ann agbakoba, surinder k. dhanjil, meyypan sockalingam, ajit saxena, andrew nicolaides, aditya sharma, vijay rathore, janet n.a. ajuluchukwu, mostafa fatemi, azra alizad, vijay viswanathan, pudukode r. krishnan, subbaram naidu,","computers in biology and medicine,",2020,sciencedirect
1288,exploiting graphoelements and convolutional neural networks with long short term memory for classification of the human electroencephalogram,"nejedly p., kremen v., sladky v., cimbalnik j., klimes p., plesinger f., viscor i., pail m., halamek j., brinkmann b.h., brazdil m., jurak p., worrell g.",scientific reports,2019,scopus
1289,"scale-free dynamics of microstate sequence in negative schizophrenia and depressive disorder,","zikang niu, lina jia, yi liu, qian wang, yang li, lijuan yang, xiaoli li, xue wang,","computers in biology and medicine,",2022,sciencedirect
1290,unsupervised learning of brain state dynamics during emotion imagination using high-density eeg,"hsu s.-h., lin y., onton j., jung t.-p., makeig s.",neuroimage,2022,scopus
1291,tuberculosis detection in chest x-ray using mayfly-algorithm optimized dual-deep-learning features,"rajakumar m.p., sonia r., uma maheswari b., karuppiah s.p.",journal of x-ray science and technology,2021,scopus
1292,"the bayesian virtual epileptic patient: a probabilistic framework designed to infer the spatial map of epileptogenicity in a personalized large-scale brain model of epilepsy spread,","m. hashemi, a.n. vattikonda, v. sip, m. guye, f. bartolomei, m.m. woodman, v.k. jirsa,","neuroimage,",2020,sciencedirect
1293,towards accurate prediction of patient length of stay at emergency department: a gan-driven deep learning framework,"kadri f., dairi a., harrou f., sun y.",journal of ambient intelligence and humanized computing,2022,scopus
1294,vmd-kfcm algorithm for the fault diagnosis of diesel engine vibration signals,"bi x., lin j., tang d., bi f., li x., yang x., ma t., shen p.",energies,2020,scopus
1295,eeg-based tonic cold pain assessment using extreme learning machine,"yu m., yan h., han j., lin y., zhu l., tang x., sun g., he y., guo y.",intelligent data analysis,2020,scopus
1296,identification of children at risk of schizophrenia via deep learning and eeg responses,"ahmedt-aristizabal d, fernando t, denman s, robinson je, sridharan s, johnston pj, laurens kr, fookes c.",ieee j biomed health inform,2021,pubmed
1297,quantitative identification of major depression based on resting-state dynamic functional connectivity: a machine learning approach,"yan b., xu x., liu m., zheng k., liu j., li j., wei l., zhang b., lu h., li b.",frontiers in neuroscience,2020,scopus
1298,feature extraction and identification of alzheimer's disease based on latent factor of multi-channel eeg,"li k., wang j., li s., yu h., zhu l., liu j., wu l.",ieee transactions on neural systems and rehabilitation engineering,2021,scopus
1299,recognition of pulmonary diseases from lung sounds using convolutional neural networks and long short-term memory,"fraiwan m., fraiwan l., alkhodari m., hassanin o.",journal of ambient intelligence and humanized computing,2021,scopus
1300,psychopathy in women: insights from neuroscience and ways forward for research,"tully j., frey a., fotiadou m., kolla n.j., eisenbarth h.",cns spectrums,2021,scopus
1301,supporting the assessment of hereditary transthyretin amyloidosis patients based on 3-d gait analysis and machine learning,"vilas-boas m.d.c., rocha a.p., cardoso m.n., fernandes j.m., coelho t., cunha j.p.s.",ieee transactions on neural systems and rehabilitation engineering,2021,scopus
1302,"ensemble regularized common spatio-spectral pattern (ensemble rcssp) model for motor imagery-based eeg signal classification,","mohammad norizadeh cherloo, homa kashefi amiri, mohammad reza daliri,","computers in biology and medicine,",2021,sciencedirect
1303,fmri feature extraction model for adhd classification using convolutional neural network,"de silva s., dayarathna s.u., ariyarathne g., meedeniya d., jayarathna s.",international journal of e-health and medical communications,2021,scopus
1304,end-to-end multimodal clinical depression recognition using deep neural networks: a comparative analysis,"muzammel m., salam h., othmani a.",computer methods and programs in biomedicine,2021,scopus
1305,deep learning based pathology detection for smart connected healthcares,"hossain m.s., muhammad g.",ieee network,2020,scopus
1306,"effect of photic stimulation for migraine detection using random forest and discrete wavelet transform,","abdulhamit subasi, aysha ahmed, emina aličković, ahnaf rashik hassan,","biomedical signal processing and control,",2019,sciencedirect
1307,constructing ontology of brain areas and autism to support domain knowledge exploration and discovery,"hong l., xu h., shi x.",international journal of computational intelligence systems,2021,scopus
1308,fusing clinical and image data for detecting the severity of breast cancer by a novel hierarchical approach,"rahimi rise z., mahootchi m., ahmadi a.",journal of experimental and theoretical artificial intelligence,2022,scopus
1309,smart anomaly detection in sensor systems: a multi-perspective review,"erhan l., ndubuaku m., di mauro m., song w., chen m., fortino g., bagdasar o., liotta a.",information fusion,2021,scopus
1310,an analysis of process fault diagnosis methods from safety perspectives,"arunthavanathan r., khan f., ahmed s., imtiaz s.",computers and chemical engineering,2021,scopus
1311,"introduction to psychological science: integrating behavioral, neuroscience and evolutionary perspectives",ray w.j.,"introduction to psychological science: integrating behavioral, neuroscience and evolutionary perspectives",2021,scopus
1312,classification of alcoholic and non-alcoholic eeg signals based on sliding-ssa and independent component analysis,"agarwal s., zubair m.",ieee sensors journal,2021,scopus
1313,psychiatric neural networks and precision therapeutics by machine learning,"komatsu h., watanabe e., fukuchi m.",biomedicines,2021,scopus
1314,time series based data explorer and stream analysis for anomaly prediction,"yin x.-x., miao y., zhang y.",wireless communications and mobile computing,2022,scopus
1315,multifractals and chronic diseases of the central nervous system,"ghosh d., samanta s., chakraborty s.",multifractals and chronic diseases of the central nervous system,2019,scopus
1316,dynamic graph modeling of simultaneous eeg and eye-tracking data for reading task identification,"mathur p., mittal t., manocha d.","icassp, ieee international conference on acoustics, speech and signal processing - proceedings",2021,scopus
1317,"advances in data preprocessing for bio-medical data fusion: an overview of the methods, challenges, and prospects","wang s., celebi m.e., zhang y.-d., yu x., lu s., yao x., zhou q., miguel m.-g., tian y., gorriz j.m., tyukin i.",information fusion,2021,scopus
1318,an accurate automatic epileptic seizure diagnosis with logistic regression using electro encephalography signals,"bhagat p.n., ramesh k.s., patil s.t.",international journal of pharmaceutical research,2020,scopus
1319,ssgcnet: a sparse spectra graph convolutional network for epileptic eeg signal classification,"jialin wang, rui gao, haotian zheng, hao zhu, c. -j. richard shi",preprints,2022,arxiv
1320,"iot-based ecg monitoring for arrhythmia classification using coyote grey wolf optimization-based deep learning cnn classifier,","abhishek kumar, swarnavinash kumar, vishal dutt, ashutosh kumar dubey, vicente garcía-díaz,","biomedical signal processing and control,",2022,sciencedirect
1321,atrial fibrillation detection method based on phase space reconstruction using ballistocardiogram signal [基于相空间重构的心冲击信号房颤检测方法],"jiang f.-f., wang h.-q., cheng t.-q., hong c.-h.",dongbei daxue xuebao/journal of northeastern university,2021,scopus
1322,improving intention detection in single-trial classification through fusion of eeg and eye-tracker data,"xianliang ge, yunxian pan, sujie wang, linze qian, jingjia yuan, jie xu, nitish thakor, yu sun",preprints,2021,arxiv
1323,machine learning methods for predicting progression from mild cognitive impairment to alzheimer’s disease dementia: a systematic review,"grueso s., viejo-sobera r.",alzheimer's research and therapy,2021,scopus
1324,data-driven intelligent tutoring system for accelerating practical skills development. a deep learning approach,"marinescu-muster r., de vries s., vollenbroek w.","smart innovation, systems and technologies",2021,scopus
1325,a deep convolutional neural network approach to classify normal and abnormal gastric slow wave initiation from the high resolution electrogastrogram,"agrusa a.s., gharibans a.a., allegra a.a., kunkel d.c., coleman t.p.",ieee transactions on biomedical engineering,2020,scopus
1326,progress in the field of micro-electrocorticography,"shokoueinejad m., park d.-w., jung y.h., brodnick s.k., novello j., dingle a., swanson k.i., baek d.-h., suminski a.j., lake w.b., ma z., williams j.",micromachines,2019,scopus
1327,a convolutional-recurrent neural network approach to resting-state eeg classification in parkinson's disease,"lee s., hussein r., ward r., jane wang z., mckeown m.j.",journal of neuroscience methods,2021,scopus
1328,the developmental chronnecto-genomics (dev-cog) study: a multimodal study on the developing brain,"stephen j.m., solis i., janowich j., stern m., frenzel m.r., eastman j.a., mills m.s., embury c.m., coolidge n.m., heinrichs-graham e., mayer a., liu j., wang y.p., wilson t.w., calhoun v.d.",neuroimage,2021,scopus
1329,towards classifying non-segmented heart sound records using instantaneous frequency based features,alqudah a.m.,journal of medical engineering and technology,2019,scopus
1330,automated classification of hand movements using tunable-q wavelet transform based filter-bank with surface electromyogram signals,"nishad a., upadhyay a., pachori r.b., acharya u.r.",future generation computer systems,2019,scopus
1331,an lstm-binn approach for built-in test analog signal state recognition of heavy-duty gas turbine controllers,"huang c., wang y., hou g., zhang j.",ieee transactions on instrumentation and measurement,2021,scopus
1332,the study of the self-similar nature of human neuromagnetic responses when exposed to flickering light stimuli,"yunusov v., demin s., rusanova i., demina n.","2021 international conference ""nonlinearity, information and robotics"", nir 2021",2021,scopus
1333,classification of thermoluminescence features of the natural halite with machine learning,"toktamis d., er m.b., isik e.",radiation effects and defects in solids,2022,scopus
1334,the role of deep learning in improving healthcare,"thaler s., menkovski v.",data science for healthcare: methodologies and applications,2019,scopus
1335,ecg diagnosis based on one-dimensional convolutional neural network,"mei q., liu t.",iop conference series: materials science and engineering,2020,scopus
1336,"automated detection of diabetic subject using pre-trained 2d-cnn models with frequency spectrum images extracted from heart rate signals,","ozal yildirim, muhammed talo, betul ay, ulas baran baloglu, galip aydin, u. rajendra acharya,","computers in biology and medicine,",2019,sciencedirect
1337,an intelligent epilepsy seizure detection system using adaptive mode decomposition of eeg signals,"kumar g., chander s., almadhor a.",physical and engineering sciences in medicine,2022,scopus
1338,stacked autoencoders as new models for an accurate alzheimer's disease classification support using resting-state eeg and mri measurements,"ferri r., babiloni c., karami v., triggiani a.i., carducci f., noce g., lizio r., pascarelli m.t., soricelli a., amenta f., bozzao a., romano a., giubilei f., del percio c., stocchi f., frisoni g.b., nobili f., patanè l., arena p.",clinical neurophysiology,2021,scopus
1339,eeg-based system using deep learning and attention mechanism for driver drowsiness detection,"zhu m., li h., chen j., kamezaki m., zhang z., hua z., sugano s.","ieee intelligent vehicles symposium, proceedings",2021,scopus
1340,a new covid-19 intubation prediction strategy using an intelligent feature selection and k-nn method,"varzaneh z.a., orooji a., erfannia l., shanbehzadeh m.",informatics in medicine unlocked,2022,scopus
1341,construction of health indicators for condition monitoring of rotating machinery: a review of the research,"zhou h., huang x., wen g., lei z., dong s., zhang p., chen x.",expert systems with applications,2022,scopus
1342,identification of epileptic seizures by characterizing instantaneous energy behavior of eeg,"zhao x., zhang r., mei z., chen c., chen w.",ieee access,2019,scopus
1343,"a neural model of intrinsic and extrinsic hippocampal theta rhythms: anatomy, neurophysiology, and function",grossberg s.,frontiers in systems neuroscience,2021,scopus
1344,"implementation of wavelet packet transform and non linear analysis for emotion classification in stroke patient using brain signals,","siao zheng bong, khairunizam wan, m. murugappan, norlinah mohamed ibrahim, yuvaraj rajamanickam, khairiyah mohamad,","biomedical signal processing and control,",2017,sciencedirect
1345,objective measurement of outcomes infacial palsy,"volk g.f., thielker j., mothes o., guntinas-lichius o.",management of post-facial paralysis synkinesis,2021,scopus
1346,"characterizing rapid fluctuations of resting state functional connectivity in demyelinating, neurodegenerative, and psychiatric conditions: from static to time-varying analysis","valsasina p., de la cruz m.h., filippi m., rocca m.a.",frontiers in neuroscience,2019,scopus
1347,epileptic seizure detection system based on multi-domain feature and spike feature of eeg,"wu d., wang z., huang h., wang g., liu j., cai c., xu w.",international journal of humanoid robotics,2019,scopus
1348,feature-based fusion using cnn for lung and heart sound classification†,"tariq z., shah s.k., lee y.",sensors,2022,scopus
1349,driving behaviour recognition based on orientation and position deviations,"sun w., zhang x., zhang x., he x., zhang g.",international journal of sensor networks,2019,scopus
1350,deep learning in the biomedical applications: recent and future status,"zemouri r., zerhouni n., racoceanu d.",applied sciences (switzerland),2019,scopus
1351,computer aided diagnosis system using deep convolutional neural networks for adhd subtypes,"ahmadi a., kashefi m., shahrokhi h., nazari m.a.",biomedical signal processing and control,2021,scopus
1352,"child neurology: its origins, founders, growth and evolution",ashwal s.,"child neurology: its origins, founders, growth and evolution",2021,scopus
1353,automatic detection of brain tumor using deep learning algorithms,"sangeetha r., mohanarathinam a., aravindh g., jayachitra s., bhuvaneswari m.","proceedings of the 4th international conference on electronics, communication and aerospace technology, iceca 2020",2020,scopus
1354,a systematic review of resting-state and task-based fmri in juvenile myoclonic epilepsy,"sanjari moghaddam h., sanjari moghaddam a., hasanzadeh a., sanatian z., mafi a., aarabi m.h., samimi m., aghamollaii v., gholipour t., tafakhori a.",brain imaging and behavior,2022,scopus
1355,identification of cognitive workload via eeg based brain mapping in real time,"anshul, bansal d., mahajan r.",international journal of advanced science and technology,2020,scopus
1356,an integrated approach for ovarian cancer classification with the application of stochastic optimization,"prabhakar s.k., lee s.-w.",ieee access,2020,scopus
1357,multi-view learning for benign epilepsy with centrotemporal spikes,"yan m., liu l., basodi s., pan y.",iet computer vision,2019,scopus
1358,best practices in eye tracking research,"carter b.t., luke s.g.",international journal of psychophysiology,2020,scopus
1359,profiling of pornography addiction among children using eeg signals: a systematic literature review,"kang x., handayani d.o.d., chong p.p., acharya u.r.",computers in biology and medicine,2020,scopus
1360,heart rate classification using ecg signal processing and machine learning methods,"papadogiorgaki m., venianaki m., charonyktakis p., antonakakis m., tsamardinos i., zervakis m.e., sakkalis v.","bibe 2021 - 21st ieee international conference on bioinformatics and bioengineering, proceedings",2021,scopus
1361,improving non-invasive aspiration detection with auxiliary classifier wasserstein generative adversarial networks,"shu k., mao s., coyle j.l., sejdic e.",ieee journal of biomedical and health informatics,2022,scopus
1362,removal of movement-induced eeg artifacts: current state of the art and guidelines,"gorjan d., gramann k., de pauw k., marusic u.",journal of neural engineering,2022,scopus
1363,a particle swarm optimization improved bp neural network intelligent model for electrocardiogram classification,"li g., tan z., xu w., xu f., wang l., chen j., wu k.",bmc medical informatics and decision making,2021,scopus
1364,a convolutional gated recurrent neural network for epileptic seizure prediction,"affes a., mdhaffar a., triki c., jmaiel m., freisleben b.",lecture notes in computer science (including subseries lecture notes in artificial intelligence and lecture notes in bioinformatics),2019,scopus
1365,development and arealization of the cerebral cortex,"cadwell c.r., bhaduri a., mostajo-radji m.a., keefe m.g., nowakowski t.j.",neuron,2019,scopus
1366,quantitative evaluation of short-term resting-state brain networks for primary insomnia diagnosis,"zhang c., sun l., ge s., chang y., jin m., xiao y., gao h., wang l., cong f.",biomedical signal processing and control,2022,scopus
1367,multi-center validation study of automated classification of pathological slowing in adult scalp electroencephalograms via frequency features,"peh w.y., thomas j., bagheri e., chaudhari r., karia s., rathakrishnan r., saini v., shah n., srivastava r., tan y.-l., dauwels j.",international journal of neural systems,2021,scopus
